date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:10:07	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20May%202026%2015:10:37%20GMT	https://rre-project.site/robots.txt		(from )
22:10:08	226965/226965	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20May%202026%2015:10:38%20GMT	https://rre-project.site/dermify/	C:/Users/Hoang%20Minh/OneDrive/Documents/Minh_SE2014_2025/SWP299/web/SWP391_GroupC/web-temp/rre-project.site/dermify/index.html	(from )
22:10:08	2152/2152	---MC-	200	added ('OK')	application/json	date:Wed,%2027%20May%202026%2015:10:38%20GMT	https://rre-project.site/dermify/wp-json/oembed/1.0/embed?url=https%3A%2F%2Frre-project.site%2Fdermify%2F	C:/Users/Hoang%20Minh/OneDrive/Documents/Minh_SE2014_2025/SWP299/web/SWP391_GroupC/web-temp/rre-project.site/dermify/wp-json/oembed/1.0/embedb2b4.json	(from https://rre-project.site/dermify/)
22:10:08	726/726	---MC-	200	added ('OK')	application/rss+xml	etag:%22e6115f381ab25eb84f2651976ba6d27f%22	https://rre-project.site/dermify/comments/feed/	C:/Users/Hoang%20Minh/OneDrive/Documents/Minh_SE2014_2025/SWP299/web/SWP391_GroupC/web-temp/rre-project.site/dermify/comments/feed/index.html	(from https://rre-project.site/dermify/)
22:10:08	2301/2301	---MC-	200	added ('OK')	text/xml	date:Wed,%2027%20May%202026%2015:10:38%20GMT	https://rre-project.site/dermify/wp-json/oembed/1.0/embed?url=https%3A%2F%2Frre-project.site%2Fdermify%2F&format=xml	C:/Users/Hoang%20Minh/OneDrive/Documents/Minh_SE2014_2025/SWP299/web/SWP391_GroupC/web-temp/rre-project.site/dermify/wp-json/oembed/1.0/embed2b94	(from https://rre-project.site/dermify/)
22:10:08	116979/116979	---MC-	200	added ('OK')	application/rss+xml	etag:%22e6115f381ab25eb84f2651976ba6d27f%22	https://rre-project.site/dermify/feed/	C:/Users/Hoang%20Minh/OneDrive/Documents/Minh_SE2014_2025/SWP299/web/SWP391_GroupC/web-temp/rre-project.site/dermify/feed/index.html	(from https://rre-project.site/dermify/)
22:10:09	54666/54666	---M--	200	added ('OK')	text/css	etag:%226a16540e-d58a%22	https://rre-project.site/dermify/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=4.1.0	C:/Users/Hoang%20Minh/OneDrive/Documents/Minh_SE2014_2025/SWP299/web/SWP391_GroupC/web-temp/rre-project.site/dermify/wp-content/plugins/elementor/assets/css/frontend.minbfce.css	(from https://rre-project.site/dermify/)
22:10:09	17633/17633	---M--	200	added ('OK')	text/css	etag:%226a168e2b-44e1%22	https://rre-project.site/dermify/wp-content/uploads/sites/20/elementor/css/post-407.css?ver=1779863083	C:/Users/Hoang%20Minh/OneDrive/Documents/Minh_SE2014_2025/SWP299/web/SWP391_GroupC/web-temp/rre-project.site/dermify/wp-content/uploads/sites/20/elementor/css/post-4074f34.css	(from https://rre-project.site/dermify/)
22:10:09	56336/56336	---M--	200	added ('OK')	text/css	etag:%22694e65df-dc10%22	https://rre-project.site/dermify/wp-content/plugins/gum-elementor-addon/css/style.css?ver=7.0	C:/Users/Hoang%20Minh/OneDrive/Documents/Minh_SE2014_2025/SWP299/web/SWP391_GroupC/web-temp/rre-project.site/dermify/wp-content/plugins/gum-elementor-addon/css/style8717.css	(from https://rre-project.site/dermify/)
22:10:09	45003/45003	---M--	200	added ('OK')	text/css	etag:%226a168e2b-afcb%22	https://rre-project.site/dermify/wp-content/uploads/sites/20/elementor/css/post-408.css?ver=1779863083	C:/Users/Hoang%20Minh/OneDrive/Documents/Minh_SE2014_2025/SWP299/web/SWP391_GroupC/web-temp/rre-project.site/dermify/wp-content/uploads/sites/20/elementor/css/post-4084f34.css	(from https://rre-project.site/dermify/)
